コメント,メンバー,ハッシュタグ
私は「不眠症」っていう楽曲が好きです。この曲の歌詞が当時の自分達に刺さって。この環境に甘えてはいけない、っていう歌詞なのですが、この曲に恥じない自分になろうって思えているので、未だに初心に帰りたい時は聴いています,#久保史緒里,#乃木坂46 #名言
人は必要な時に必要な人と出会うと思ってます,#橋本奈々未,#乃木坂46 #名言
自分に合っていると思ったことを好きっていう気持ちを忘れずにやっていれば絶対いい方向に向かっていくと思います,#橋本奈々未,#乃木坂46 #名言
 私が選んだその先に、正解があると信じています,#橋本奈々未,#乃木坂46 #名言
生きている限り後悔を晴らすチャンスはある,#橋本奈々未,#乃木坂46 #名言
自分に正直にありたいと思い続けて生きてきました,#橋本奈々未,#乃木坂46 #名言
私は自分を信じるし、皆さんも自分を信じて、これからもお互い！,#橋本奈々未,#乃木坂46 #名言
大丈夫じゃないことは人生でなかなか起こらない,#橋本奈々未,#乃木坂46 #名言
この人たちは裏切れないなっていう思いでなんとか踏ん張ってやってこれました,#橋本奈々未,#乃木坂46 #名言
したことは返ってくる,#橋本奈々未,#乃木坂46 #名言
言葉が柔らかい人。それだけで印象がいいというか話していて気持ちいい,#橋本奈々未,#乃木坂46 #名言
少なくとも私は自分のためには頑張れないんです,#橋本奈々未,#乃木坂46 #名言
自分がやるべきことでどう貢献できるか考えて行動していくことが一番嬉しい,#橋本奈々未,#乃木坂46 #名言
プロである以上「新人だから、アイドルだから」って甘えは許されない,#橋本奈々未,#乃木坂46 #名言
今回は5期生のみんながレッスンの前後に集まって練習している姿を見て、昔の気持ちも忘れちゃいけないなって思いました,#金川紗耶,#乃木坂46 #名言
ライブのリハーサルの時が、1番コミュニケーションが取れる気がします！,#金川紗耶,#乃木坂46 #名言
僕が拒否してた この世界は美しい,#君の名は希望,#乃木坂46 #歌詞
未来はいつだって 新たなときめきと出会いの場,#君の名は希望,#乃木坂46 #歌詞
どんな時も 絶えることない永遠を 愛と信じてる,#五月雨よ,#櫻坂46 #歌詞
昔のライブ映像を見返すこともありますし、1期生がみんないた頃のことが無性に懐かしくなることもあります。でも、昔に戻れますと言われたとしても、私は戻りますとは言わないかな,#高山一実,#乃木坂46 #名言
どんなグループにもファンが特に愛している黄金時代があるのは、すごく分かります。乃木坂で言えば、まいやんがいた時代なのかもしれません。でも、あの頃は良かったよねと言われるようになったら、グループはおしまいです,#高山一実,#乃木坂46 #名言
あきらめるなら一人でいいけど 夢を見るなら君と一緒がいい,#今、話したい誰かがいる,#乃木坂46 #歌詞
自分の“好き”をたくさん見つけて、それを大事にしたいなって思っています。もっともっと表現力を磨いてそれを自分の強み、自分の“好き”にしたいです,#佐藤璃果,#乃木坂46 #名言
